cluster_name,total_mentions,distinct_calls,confidence,safety_nonsafety_bleed,has_deployment_blocker,evidence_source,member_labels,evidence_sample
ladder safety and fixed ladder elimination,1,1,MEDIUM,False,False,customer,ladder safety and fixed ladder elimination,"Stevie Yates: Another big one we got coming is we're going to be looking pretty hard at ladders. | Stevie Yates: In our siding group, they had an injury where someone slipped off a ladder. | Stevie Yates: we're getting ready to put the full court press on fixed ladders and not just from a regulatory"
safety performance analytics gamification and reporting,1,1,MEDIUM,False,False,customer,safety performance analytics gamification and reporting,"Unknown: What do you guys see as a ROI as far as getting better, right? So do we use this as a store competition or a warehouse competition? Like, hey, guys, the store down the road is kicking your butt. | Unknown: Gamification definitely works. Make it fun. | Unknown: we just set that up with you o"
detect and prevent catastrophic safety events,1,1,MEDIUM,False,False,mixed,detect and prevent catastrophic safety events,"Riley Winslow: what were the types of injuries that we really didn't have insight into previously, that we kind of always knew were occurring, that were potentially catastrophic in nature, that now we have insight into, we've actually seen them occurring, and we've been able to put some sort of cont"
operator not looking in direction of travel detection,1,1,MEDIUM,False,False,customer,operator not looking in direction of travel detection,"Alden Carver: Not looking in the direction of travel. I know that's a tough one, especially if the cameras aren't close, but that's another one we keep trying to pick up as well."
detect unsafe pallet jack practices for coaching,1,1,MEDIUM,False,False,customer,detect unsafe pallet jack practices for coaching,"Operations Conference Room 2: And then we see on Voxel, the guy loading a pallet jack without turning the handle so the wheels weren't locked in place. | Operations Conference Room 2: And then the pallet jack is moving while he's loading it, and then he stands on it, on the pallet to put something o"
implementing velocityehs system,1,1,MEDIUM,False,False,customer,implementing velocityehs system,"Stevie Yates: My group, the Summit Track Systems, that's probably taking up a lot of the most time at the moment, just because we're right in the middle of the design of that new system. | Stevie Yates: And I think that's about to, I think we almost have our part done, but that's taken up a lot."
walking over forks slip trip hazard,1,1,MEDIUM,False,False,mixed,walking over forks slip trip hazard,"Dakota Kendrick: This is what Brian from our team likes to talk about this all the time, which is like walking over forks. | Dakota Kendrick: Is walking over the forks, like what he did here, is a risk for you? Like, is that like something you guys want to know about? | Jesse Sloane: Walking over th"
enterprise analytics and benchmarking across sites,1,1,MEDIUM,False,False,customer,enterprise analytics and benchmarking across sites,"Unknown: All Sites Dashboard, this is going to see how you're going to see all of your sites trending across the corporation. | Unknown: And then from there, we break it down even further by rule set or use case. | Unknown: where we can pull best practices from Market Street, because they seem to be"
fill room safety monitoring in new production facility,1,1,MEDIUM,False,False,customer,fill room safety monitoring in new production facility,"Unknown: would this be something worth looking into in our new production facility, specifically around our, what we call the fill room, where they basically, the operations around the packaging and known for the | Unknown: The warehouse is more restricted and maybe a little less risky, but still co"
ergonomics monitoring in molding cells,1,1,MEDIUM,False,False,customer,ergonomics monitoring in molding cells,Blake Finch: Now we're shifting our focus to ergonomic type stuff. | Blake Finch: So we tweaked one of our cameras last week and we're starting to get data inside of a molding cell. | Blake Finch: To see what type of ergonomic stuff we can pick up. | Blake Finch: we had quite a few ergo issues in ou
planning for multi site rollout requirements,1,1,MEDIUM,False,False,customer,planning for multi site rollout requirements,Ashton Beckett: I want a clearer picture of how this would be scoped across the different options. | Ashton Beckett: What else would we need beyond what we already have in place? | Ashton Beckett: What other implementation considerations would fall on our side? | Ashton Beckett: Having more clarity 
dock pit and pedestrian safety monitoring,1,1,MEDIUM,False,False,mixed,dock pit and pedestrian safety monitoring,"Micah Gentry: What we started focusing on in the tool to get some quick wins was to really go after our dock safety when it came to pit on pit, PIV on PIV, part of industrial vehicles, interactions. | Eden Quill: So we did have in there that the pit-to-pit focus started on December 26th, and I can't"
no pedestrian zone enforcement ramps robot cells,1,1,MEDIUM,False,False,mixed,no pedestrian zone enforcement ramps robot cells,"Sloane Collins: right here, so this right here, just so you know, would be a no pedestrian. We have signs up and such that there's no pedestrian traffic to be going up and down this ramp. | Parker Donovan: We'll put no pet in by the robots just to see how often people have to go in there, fix it. | "
upgrade legacy nvr vms with ai capabilities,1,1,MEDIUM,False,False,customer,upgrade legacy nvr vms with ai capabilities,"Kieran Ashford: Be interested or looking, we've had the same in VR software for several years. | Kieran Ashford: It works, but it seems to be falling behind. | Kieran Ashford: They don't do any kind of AI or anything like that."
pit to pedestrian proximity trend analysis with rolling average,1,1,MEDIUM,False,False,customer,pit to pedestrian proximity trend analysis with rolling average,"Denver Ellery: so in this pit to pet stuff that you guys sent over, over here, I added a four-week rolling average, right? | Denver Ellery: So like, for example, like pit to pet, it was 21.5, 23.5, 22.5, and it basically stayed at 2, and then we changed the layout over there by grand, and now it's a"
